length,weight,cz,wz,plastic, 
15.5,23.25,0.73 ,1.31,1,
18.8,60.43,1.75 ,8.57,0,
19.9,65.84,4.83 ,4.47,0,
19,67.66,1.78 ,11.31,0,
19.3,68.31,1.13,6.72,0,
21,68.94,2.25,3.4,0,
18.2,70.25,2.7,4.47,0,
20.7,70.65,1.72 ,2.57,0,
19.3,73.13,2.57,12.42,0,
20,77.68,3.47 ,1.82,1,
20.9,78.15,4.81 ,2.08,0,
20,78.4,1.75,2.85,1,
19.1,80.32,1.73,2.07,0,
20.8,83.03,1.36 ,5.36,0,
21.5,84.68,2.25 ,10.54,1,
22.1,87.41,2.09,4.84,0,
21.7,88.05,3.66,14.19,0,
21,88.14,5.49 ,11.16,0,
19,90.04,3.30 ,18.94,0,
20.8,90.86,5.00 ,7.07,0,
21,97.36,3.03 ,14.11,0,
21,97.68,1.79 ,3.82,1,
22.3,99.32,3.63,4.84,0,
22.8,101.93,2.96 ,3.92,0,
22,102.83,4.70 ,3.94,1,
22.8,110.27,3.4,4.42,1,
26.7,182.4,7.71 ,13.93,0,
27.6,318.91,12.86 ,42.13,0,
30.1,373.57,15.32 ,24.47,1,
32.7,376.03,5.91,36.17,1,
30.9,391.41,14.79 ,13.12,0,
32.9,522.47,22.25 ,22.74,1,
